Ano;Mês;Países;"Bloco Econômico";"Código NCM";"Descrição NCM";"Valor FOB (US$)";"Quilograma Líquido";"Quantidade Estatística"
2021;05;Panamá;"América Central e Caribe";08101000;"Morangos frescos";657;436;432
2021;02;Libéria;África;08101000;"Morangos frescos";512;59;58
2021;07;Panamá;"América Central e Caribe";08101000;"Morangos frescos";468;471;468
2021;05;Libéria;África;08101000;"Morangos frescos";445;83;77
2021;06;"Marshall, Ilhas";Oceania;08101000;"Morangos frescos";350;71;71
2021;04;Panamá;"América Central e Caribe";08101000;"Morangos frescos";308;323;323
2021;07;"Hong Kong";"Ásia (Exclusive Oriente Médio)";08101000;"Morangos frescos";306;76;55
2021;06;Noruega;Europa;08101000;"Morangos frescos";305;49;49
2021;03;"Marshall, Ilhas";Oceania;08101000;"Morangos frescos";271;89;78
2021;03;Libéria;África;08101000;"Morangos frescos";267;62;62
2021;02;Portugal;"União Europeia - UE";08101000;"Morangos frescos";263;392;392
2021;02;Portugal;Europa;08101000;"Morangos frescos";263;392;392
2021;06;Singapura;"Associação de Nações do Sudeste Asiático - ASEAN";08101000;"Morangos frescos";251;38;38
2021;06;Singapura;"Ásia (Exclusive Oriente Médio)";08101000;"Morangos frescos";251;38;38
2021;07;"Marshall, Ilhas";Oceania;08101000;"Morangos frescos";249;66;66
2021;02;Panamá;"América Central e Caribe";08101000;"Morangos frescos";226;245;247
2021;06;Panamá;"América Central e Caribe";08101000;"Morangos frescos";226;47;40
2021;03;Singapura;"Associação de Nações do Sudeste Asiático - ASEAN";08101000;"Morangos frescos";204;35;35
2021;03;Singapura;"Ásia (Exclusive Oriente Médio)";08101000;"Morangos frescos";204;35;35
2021;06;Dinamarca;Europa;08101000;"Morangos frescos";204;34;35
2021;06;Dinamarca;"União Europeia - UE";08101000;"Morangos frescos";204;34;35
2021;03;Panamá;"América Central e Caribe";08101000;"Morangos frescos";193;240;240
2021;01;"Marshall, Ilhas";Oceania;08101000;"Morangos frescos";185;40;40
2021;07;Libéria;África;08101000;"Morangos frescos";184;43;43
2021;03;Dinamarca;"União Europeia - UE";08101000;"Morangos frescos";173;32;31
2021;03;Dinamarca;Europa;08101000;"Morangos frescos";173;32;31
2021;06;Libéria;África;08101000;"Morangos frescos";171;32;32
2021;06;Malta;Europa;08101000;"Morangos frescos";170;27;26
2021;06;Malta;"União Europeia - UE";08101000;"Morangos frescos";170;27;26
2021;07;Malta;"União Europeia - UE";08101000;"Morangos frescos";164;29;29
2021;07;Malta;Europa;08101000;"Morangos frescos";164;29;29
2021;02;Noruega;Europa;08101000;"Morangos frescos";162;38;38
2021;06;"Hong Kong";"Ásia (Exclusive Oriente Médio)";08101000;"Morangos frescos";157;36;36
2021;01;Panamá;"América Central e Caribe";08101000;"Morangos frescos";154;50;50
2021;01;Tailândia;"Associação de Nações do Sudeste Asiático - ASEAN";08101000;"Morangos frescos";153;31;31
2021;01;Tailândia;"Ásia (Exclusive Oriente Médio)";08101000;"Morangos frescos";153;31;31
2021;01;Guiana;"América do Sul";08101000;"Morangos frescos";153;20;20
2021;01;Noruega;Europa;08101000;"Morangos frescos";151;23;24
2021;05;Bahamas;"América Central e Caribe";08101000;"Morangos frescos";149;80;80
2021;07;Tailândia;"Associação de Nações do Sudeste Asiático - ASEAN";08101000;"Morangos frescos";149;30;30
2021;07;Tailândia;"Ásia (Exclusive Oriente Médio)";08101000;"Morangos frescos";149;30;30
2021;02;Guiana;"América do Sul";08101000;"Morangos frescos";147;20;20
2021;04;Libéria;África;08101000;"Morangos frescos";145;42;44
2021;04;Tailândia;"Associação de Nações do Sudeste Asiático - ASEAN";08101000;"Morangos frescos";145;27;27
2021;04;Tailândia;"Ásia (Exclusive Oriente Médio)";08101000;"Morangos frescos";145;27;27
2021;07;Noruega;Europa;08101000;"Morangos frescos";145;23;23
2021;02;Singapura;"Ásia (Exclusive Oriente Médio)";08101000;"Morangos frescos";143;23;23
2021;02;Singapura;"Associação de Nações do Sudeste Asiático - ASEAN";08101000;"Morangos frescos";143;23;23
2021;03;Guiana;"América do Sul";08101000;"Morangos frescos";142;20;20
2021;05;Noruega;Europa;08101000;"Morangos frescos";137;24;25
2021;04;Bahamas;"América Central e Caribe";08101000;"Morangos frescos";135;28;28
2021;07;Guiana;"América do Sul";08101000;"Morangos frescos";131;15;15
2021;03;"Hong Kong";"Ásia (Exclusive Oriente Médio)";08101000;"Morangos frescos";130;38;36
2021;07;Portugal;Europa;08101000;"Morangos frescos";126;145;144
2021;07;Portugal;"União Europeia - UE";08101000;"Morangos frescos";126;145;144
2021;04;Singapura;"Ásia (Exclusive Oriente Médio)";08101000;"Morangos frescos";124;16;14
2021;04;Singapura;"Associação de Nações do Sudeste Asiático - ASEAN";08101000;"Morangos frescos";124;16;14
2021;05;Turquia;Europa;08101000;"Morangos frescos";122;20;20
2021;05;Grécia;Europa;08101000;"Morangos frescos";120;24;24
2021;05;Grécia;"União Europeia - UE";08101000;"Morangos frescos";120;24;24
2021;01;"Hong Kong";"Ásia (Exclusive Oriente Médio)";08101000;"Morangos frescos";120;22;22
2021;06;Grécia;Europa;08101000;"Morangos frescos";119;27;27
2021;06;Grécia;"União Europeia - UE";08101000;"Morangos frescos";119;27;27
2021;01;Grécia;"União Europeia - UE";08101000;"Morangos frescos";109;20;20
2021;01;Grécia;Europa;08101000;"Morangos frescos";109;20;20
2021;01;Dinamarca;Europa;08101000;"Morangos frescos";109;16;18
2021;01;Dinamarca;"União Europeia - UE";08101000;"Morangos frescos";109;16;18
2021;05;Dinamarca;"União Europeia - UE";08101000;"Morangos frescos";108;13;17
2021;05;Dinamarca;Europa;08101000;"Morangos frescos";108;13;17
2021;05;"Reino Unido";Europa;08101000;"Morangos frescos";104;20;20
2021;06;Bahamas;"América Central e Caribe";08101000;"Morangos frescos";101;21;21
2021;05;Tailândia;"Ásia (Exclusive Oriente Médio)";08101000;"Morangos frescos";99;20;20
2021;05;Tailândia;"Associação de Nações do Sudeste Asiático - ASEAN";08101000;"Morangos frescos";99;20;20
2021;07;Singapura;"Ásia (Exclusive Oriente Médio)";08101000;"Morangos frescos";98;35;28
2021;07;Singapura;"Associação de Nações do Sudeste Asiático - ASEAN";08101000;"Morangos frescos";98;35;28
2021;03;Noruega;Europa;08101000;"Morangos frescos";96;20;20
2021;02;Tailândia;"Ásia (Exclusive Oriente Médio)";08101000;"Morangos frescos";94;18;18
2021;02;Tailândia;"Associação de Nações do Sudeste Asiático - ASEAN";08101000;"Morangos frescos";94;18;18
2021;01;Singapura;"Associação de Nações do Sudeste Asiático - ASEAN";08101000;"Morangos frescos";92;17;18
2021;01;Singapura;"Ásia (Exclusive Oriente Médio)";08101000;"Morangos frescos";92;17;18
2021;04;"Marshall, Ilhas";Oceania;08101000;"Morangos frescos";90;37;37
2021;03;Tailândia;"Ásia (Exclusive Oriente Médio)";08101000;"Morangos frescos";89;18;18
2021;03;Tailândia;"Associação de Nações do Sudeste Asiático - ASEAN";08101000;"Morangos frescos";89;18;18
2021;05;"Hong Kong";"Ásia (Exclusive Oriente Médio)";08101000;"Morangos frescos";87;35;17
2021;06;China;"Ásia (Exclusive Oriente Médio)";08101000;"Morangos frescos";87;15;15
2021;07;Polônia;Europa;08101000;"Morangos frescos";86;20;20
2021;07;Polônia;"União Europeia - UE";08101000;"Morangos frescos";86;20;20
2021;03;Grécia;"União Europeia - UE";08101000;"Morangos frescos";86;19;19
2021;03;Grécia;Europa;08101000;"Morangos frescos";86;19;19
2021;05;Guiana;"América do Sul";08101000;"Morangos frescos";85;10;10
2021;03;Malta;Europa;08101000;"Morangos frescos";83;24;23
2021;03;Malta;"União Europeia - UE";08101000;"Morangos frescos";83;24;23
2021;06;Chipre;"União Europeia - UE";08101000;"Morangos frescos";82;12;12
2021;06;Chipre;Europa;08101000;"Morangos frescos";82;12;12
2021;04;Grécia;Europa;08101000;"Morangos frescos";81;26;26
2021;04;Grécia;"União Europeia - UE";08101000;"Morangos frescos";81;26;26
2021;04;"Hong Kong";"Ásia (Exclusive Oriente Médio)";08101000;"Morangos frescos";80;17;17
2021;04;Malta;Europa;08101000;"Morangos frescos";80;15;15
2021;04;Malta;"União Europeia - UE";08101000;"Morangos frescos";80;15;15
2021;01;"Reino Unido";Europa;08101000;"Morangos frescos";79;1;10
2021;05;Singapura;"Associação de Nações do Sudeste Asiático - ASEAN";08101000;"Morangos frescos";76;20;20
2021;05;Singapura;"Ásia (Exclusive Oriente Médio)";08101000;"Morangos frescos";76;20;20
2021;04;Dinamarca;Europa;08101000;"Morangos frescos";76;11;11
2021;04;Dinamarca;"União Europeia - UE";08101000;"Morangos frescos";76;11;11
2021;02;Dinamarca;"União Europeia - UE";08101000;"Morangos frescos";75;13;13
2021;02;Dinamarca;Europa;08101000;"Morangos frescos";75;13;13
2021;01;Libéria;África;08101000;"Morangos frescos";74;14;14
2021;05;Malta;Europa;08101000;"Morangos frescos";72;17;17
2021;05;Malta;"União Europeia - UE";08101000;"Morangos frescos";72;17;17
2021;06;Guiana;"América do Sul";08101000;"Morangos frescos";71;8;8
2021;07;Dinamarca;"União Europeia - UE";08101000;"Morangos frescos";68;9;10
2021;07;Dinamarca;Europa;08101000;"Morangos frescos";68;9;10
2021;06;Alemanha;Europa;08101000;"Morangos frescos";64;10;10
2021;06;Alemanha;"União Europeia - UE";08101000;"Morangos frescos";64;10;10
2021;07;"Coreia do Sul";"Ásia (Exclusive Oriente Médio)";08101000;"Morangos frescos";63;26;26
2021;05;Portugal;"União Europeia - UE";08101000;"Morangos frescos";62;93;93
2021;05;Portugal;Europa;08101000;"Morangos frescos";62;93;93
2021;02;Chipre;Europa;08101000;"Morangos frescos";60;10;10
2021;02;Chipre;"União Europeia - UE";08101000;"Morangos frescos";60;10;10
2021;02;"Arábia Saudita";"Oriente Médio";08101000;"Morangos frescos";57;14;14
